# The 196 pins are counted from 0 to 195, starting from the uppermost pin of
# the left side, counter-clockwise. Pads 65 and 179 are unused (DNC) due to
# analog/digital separation. 

# analog part
# -----------
# 49 pins are on the left (0-49), 15 on the bottom (49-64) and 15 pins on the
# top (180-195) side.

# Pins & Net & Dec vs. & Type & Comment

0,45                & vddp1         & -             & protection & to vddc
1,46                & gndp1         & -             & protection & to gndc
# Pins & Net & Dec vs. & Type & Comment

66, 75, 84, 94, 103, 115, 127, 139, 150, 160, 169, 178 & vddd2 & gndd2      & power        & 1.8V
67, 76, 85, 95, 104, 116, 128, 140, 149, 159, 168, 177 & gndd2 & vddd2      & power        & 0.0V
65, 68, 69, 110, 120, 121, 175, 176, 179 & DNC              & -             & unused       & DNC
70, 88, 107, 124, 137, 156, 174          & vddo             & -             & protection   & digital pads, to vddd2
71, 89, 106, 123, 136, 155, 173          & gndo             & -             & protection   & digital pads. to gndd2
72, 90, 105, 122, 138, 154, 172          & gndb             & -             & bulk         & also in analog part
73                                       & miscInBotN2      & -             & lvds input   & to connector
77                                       & miscInBotN1      & -             & lvds input   & to connector
79                                       & miscInBotN0      & -             & lvds input   & to connector
74                                       & miscInBotP2      & -             & lvds input   & to connector
78                                       & miscInBotP1      & -             & lvds input   & to connector
80                                       & miscInBotP0      & -             & lvds input   & to connector
81                                       & BiasNBotIn       & gndd2         & lvds bias    &
82                                       & miscOutBotN3     & -             & lvds output  & to connector
86                                       & miscOutBotN2     & -             & lvds output  & to connector
92                                       & miscOutBotN1     & -             & lvds output  & to connector
96                                       & miscOutBotN0     & -             & lvds output  & to connector
83                                       & miscOutBotP3     & -             & lvds output  & to connector
87                                       & miscOutBotP2     & -             & lvds output  & to connector
93                                       & miscOutBotP1     & -             & lvds output  & to connector
97                                       & miscOutBotP0     & -             & lvds output  & to connector
91                                       & BiasNBotOut      & gndd2         & lvds bias    &
98                                       & dataOutBN        & -             & lvds output  & to connector, fast link
99                                       & dataOutBP        & -             & lvds output  & to connector, fast link
100                                      & dataOutAN        & -             & lvds output  & to connector, fast link
101                                      & dataOutAP        & -             & lvds output  & to connector, fast link
102                                      & BiasNRightOut2   & gndd2         & lvds bias    & fast links
108                                      & userpin2         & -             & cmos output  & to led + tp
109                                      & userpin1         & -             & cmos output  & to led + tp
111                                      & serdesReady      & -             & cmos output  & to led + tp
112                                      & resN10           & -             & cmos output  & tp
113                                      & resN2            & -             & cmos output  & tp
114                                      & resN1            & -             & cmos output  & tp
117                                      & SCL              & -             & I2C          & pull-up (opt.), to 4pin
118                                      & SDA              & -             & I2C          & pull-up (opt.), to 4pin
119                                      & linkActive       & -             & cmos output  & to led + tp
125                                      & readoutEnabled   & -             & cmos output  & to led + tp
126                                      & enableReadout    & -             & cmos input   & to connector/button, level?
129                                      & triggerOutN      & -             & lvds output  & to analog injection
130                                      & triggerOutP      & -             & lvds output  & to analog injection
131                                      & dataInN          & -             & lvds input   & to connector
132                                      & dataInP          & -             & lvds input   & to connector
133                                      & BiasNRightOut1   & gndd2         & lvds bias    & slow links
134                                      & resN             & -             & cmos input   & to FPGA + pullup
135                                      & BiasNRightIn     & gndd2         & lvds bias    & slow links
141                                      & clk1N            & -             & lvds input   & to connector
142                                      & clk1P            & -             & lvds input   & to connector
143                                      & clk2N            & -             & lvds output  & to mmcx, termination
144                                      & clk2P            & -             & lvds output  & to mmcx, termination
145                                      & clk10N           & -             & lvds output  & to mmcx, termination
146                                      & clk10P           & -             & lvds output  & to mmcx, termination
157                                      & miscOutTopP2     & -             & lvds output  & to connector
151                                      & miscOutTopP1     & -             & lvds output  & to connector
147                                      & miscOutTopP0     & -             & lvds output  & to connector
158                                      & miscOutTopN2     & -             & lvds output  & to connector
152                                      & miscOutTopN1     & -             & lvds output  & to connector
148                                      & miscOutTopN0     & -             & lvds output  & to connector
153                                      & BiasNTopOut      & gndd2         & lvds bias    &
170                                      & miscInTopP3      & -             & lvds input   & to connector
166                                      & miscInTopP2      & -             & lvds input   & to connector
164                                      & miscInTopP1      & -             & lvds input   & to connector
161                                      & miscInTopP0      & -             & lvds input   & to connector
171                                      & miscInTopN3      & -             & lvds input   & to connector
167                                      & miscInTopN2      & -             & lvds input   & to connector
165                                      & miscInTopN1      & -             & lvds input   & to connector
162                                      & miscInTopN0      & -             & lvds input   & to connector
163                                      & BiasNTopIn       & gndd2         & lvds bias    &
